form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
NProf Z c22 224 26.10 18.95 168 274 17.0 9.6 1.29 NA 4.50 -4.95 2.23 3.66 3.0 17 -10.2 -27.1 15.5 11.4 7.1 2.3 
NProf Z c23 211 25.17 14.66 157 272 29.5 9.6 1.83 0.15 4.56 -4.07 4.27 4.06 2.9 15 -15.7 -26.7 15.1 18.0 7.0 2.0 
NProf Z c24 208 23.99 15.33 173 272 41.2 15.0 1.02 0.38 3.84 -5.29 3.69 4.73 3.8 19 -13.7 -28.5 13.5 13.6 8.3 2.3 
NProf Z c25 196 30.99 14.50 148 274 33.8 7.7 1.74 0.05 2.27 -2.30 1.92 3.10 2.9 19 -13.9 -24.8 13.7 11.2 7.0 2.0 
NProf Z c26 239 35.17 31.16 172 300 62.1 6.1 1.53 0.35 6.44 -3.72 10.40 4.36 3.3 16 -14.2 -26.5 13.2 15.5 8.3 2.6 
NProf Z c27 213 27.39 16.25 178 284 34.4 6.4 1.61 0.18 4.10 -3.01 3.45 3.80 3.5 22 -10.8 -29.5 15.7 18.0 6.9 2.0 
NProf Z c28 208 43.30 32.70 166 341 48.7 8.6 0.99 0.21 8.09 -6.78 5.47 5.13 2.3 17 -16.7 -31.8 16.1 12.8 7.4 1.9 
NProf Z c29 206 32.26 26.06 163 279 31.8 12.3 1.30 0.35 6.31 -4.09 4.02 3.67 2.7 17 -14.1 -28.9 14.0 17.9 7.6 2.4 
NProf Z c30 209 36.72 23.56 161 335 49.2 8.0 1.33 0.27 4.44 -6.33 3.23 4.97 3.7 19 -13.5 -31.3 15.4 15.4 7.2 2.2 
Prof G c1 168 49.49 46.01 130 264 57.3 5.5 1.42 0.18 6.30 -5.77 3.95 6.61 1.8 46 -17.4 -19.1 11.5 13.5 6.5 1.7 
Prof G c2 198 21.59 10.42 124 213 9.1 3.5 2.21 0.17 2.49 -3.61 1.59 2.66 3.2 14 -18.2 -26.2 13.6 11.3 8.2 2.3 
Prof G c3 166 18.34 15.19 130 191 12.0 14.2 1.73 0.36 4.44 -2.72 2.31 2.95 1.7 14 -19.8 -20.8 11.1 8.2 8.2 2.3 
Prof G c4 209 34.87 26.96 135 252 17.3 31.9 1.75 0.52 8.57 -7.67 6.62 8.10 3.1 15 -17.1 -19.0 9.9 15.9 8.1 2.6 
