ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
PE AM ST FE 1 90 1.41 0.24 0.05 2.12 -0.11 0.10 1.18 
PE AM ST FE 2 90 0.94 0.04 0.09 2.03 -0.03 0.2 1.02 
PE AM ST FE 3 90 1.18 0.21 -0.15 1.81 -0.19 0.2 0.77 
PE AM ST FE 4 90 1.29 0.22 -0.12 1.48 0.11 0.5 1.02 
PE AR ST FE 1 90 1.44 0.16 -0.23 3.09 -0.14 0.6 1.02 
PE AR ST FE 2 91 1.39 0.13 0.13 2.41 0.46 0.6 0.79 
PE AR ST FE 3 92 1.66 -0.14 0.12 2.89 0.82 0.4 0.98 
PE AR ST FE 4 91 2.32 0.20 0.24 4.71 1.80 0.5 0.70 
PE AS ST FE 1 94 1.08 -0.06 -0.07 2.68 -0.25 1.0 1.13 
PE AS ST FE 2 94 1.29 0.07 0.13 4.13 0.01 0.9 0.82 
PE AS ST FE 3 95 1.09 -0.18 0.009 3.19 -0.13 0.8 1.24 
PE AS ST FE 4 96 1.39 -0.22 -0.21 3.13 -0.96 1.0 0.97 
PE CO ST FE 1 92 1.70 0.14 -0.08 3.89 0.36 0.4 0.78 
PE CO ST FE 2 92 2.00 0.06 0.14 3.59 -0.16 0.3 0.71 
PE CO ST FE 3 92 1.80 0.18 0.04 3.92 0.86 0.5 0.91 
PE CO ST FE 4 92 1.90 0.04 0.04 4.41 0.37 0.3 1.09 
PE RV ST FE 1 89 2.13 -0.03 -0.33 3.95 -0.07 0.9 1.09 
PE RV ST FE 2 89 2.41 0.010 0.18 3.38 -0.55 0.9 1.12 
PE RV ST FE 3 89 1.63 -0.14 -0.17 1.56 -0.07 0.7 1.11 
PE RV ST FE 4 90 2.48 0.35 -0.07 3.84 0.13 1.0 0.74 
PE CP ST MA 1 87 3.84 0.31 0.02 5.00 2.31 0.5 0.28 
PE CP ST MA 2 87 4.72 0.43 -0.22 6.64 -1.65 0.5 0.73 
PE CP ST MA 3 88 2.77 0.19 0.14 3.16 0.20 0.6 0.42 
PE CP ST MA 4 85 4.10 0.49 -0.11 4.79 2.59 0.7 0.38 
PE MR ST MA 1 84 1.62 0.25 0.01 2.52 0.80 0.2 0.86 
PE MR ST MA 2 84 1.23 0.28 -0.08 1.66 -0.97 0.2 0.79 
PE MR ST MA 3 85 1.03 0.20 -0.03 1.03 0.74 0.4 0.99 
PE MR ST MA 4 86 1.75 0.24 -0.29 2.77 -0.97 0.5 0.91 
PE NA ST MA 1 86 5.30 0.52 0.27 7.28 -0.32 1.0 0.52 
PE NA ST MA 2 88 5.38 0.24 -0.02 6.32 -0.41 1.3 0.57 
PE NA ST MA 3 87 5.87 0.28 0.82 9.91 0.10 1.3 0.66 
PE NA ST MA 4 84 5.27 0.50 -0.15 9.16 1.44 1.3 0.66 
PE PF ST MA 1 86 2.31 0.23 0.004 6.70 -1.55 0.2 0.71 
